,Symbol,Name,Sector,Market Cap,Price,Change,Volume,P/E,Analyst Rating
0,RELIANCE,RELIANCE INDUSTRIES LTD,Energy minerals,19270000000000.0,1454.2,2.09,20180000.0,28.25,Strong buy
1,HDFCBANK,HDFC BANK LTD,Finance,14630000000000.0,1933.8,1.21,16120000.000000002,20.93,Strong buy
2,TCS,TATA CONSULTANCY SERV LTD,Technology services,12840000000000.0,3579.9,0.88,3550000.0,26.68,Buy
3,BHARTIARTL,BHARTI AIRTEL LTD,Communications,10450000000000.0,1867.2,1.8,8790000.0,33.69,Strong buy
4,ICICIBANK,ICICI BANK LTD.,Finance,10160000000000.0,1450.8,1.72,18210000.0,20.83,Strong buy
5,SBIN,STATE BANK OF INDIA,Finance,7140000000000.0,807.75,0.88,17060000.0,9.29,Buy
6,INFY,INFOSYS LTD,Technology services,6610000000000.0,1613.0,1.29,11150000.0,25.06,Buy
7,BAJFINANCE,BAJAJ FINANCE LTD,Finance,5640000000000.0,9188.5,1.18,1040000.0,34.25,Buy
8,HINDUNILVR,HINDUSTAN UNILEVER LTD.,Consumer non-durables,5520000000000.0,2355.2,0.2,3240000.0,51.97,Buy
9,ITC,ITC LTD,Consumer non-durables,5370000000000.0,432.65,0.83,24260000.0,26.87,Strong buy
10,LICI,LIFE INSURA CORP OF INDIA,Finance,5200000000000.0,840.3,2.2,1240000.0,12.34,Buy
11,LT,LARSEN & TOUBRO LTD.,Industrial services,4920000000000.0,3618.2,1.26,3720000.0,33.11,Strong buy
12,HCLTECH,HCL TECHNOLOGIES LTD,Technology services,4440000000000.0,1696.0,3.56,4960000.0,26.45,Buy
13,KOTAKBANK,KOTAK MAHINDRA BANK LTD,Finance,4160000000000.0,2106.4,0.67,4260000.0,18.93,Buy
14,SUNPHARMA,SUN PHARMACEUTICAL IND L,Health technology,4099999999999.9995,1740.1,1.87,3880000.0,36.52,Buy
15,MARUTI,MARUTI SUZUKI INDIA LTD.,Consumer durables,3980000000000.0,12952.0,2.23,561500.0,28.08,Buy
16,M&M,MAHINDRA & MAHINDRA LTD,Consumer durables,3860000000000.0,3144.3,1.37,3590000.0,27.33,Strong buy
17,AXISBANK,AXIS BANK LTD,Finance,3700000000000.0,1209.1,1.14,6710000.0,13.42,Strong buy
18,ULTRACEMCO,ULTRATECH CEMENT LTD,Non-energy minerals,3440000000000.0,11894.0,1.9,371370.0,53.45,Buy
19,NTPC,NTPC LTD,Utilities,3290000000000.0,341.95,1.0,43310000.0,15.09,Buy
20,BAJAJFINSV,BAJAJ FINSERV LTD.,Finance,3230000000000.0,2041.9,1.06,2640000.0,36.92,Buy
21,HAL,HINDUSTAN AERONAUTICS LTD,Electronic technology,3190000000000.0,4864.8,2.03,4870000.0,38.9,Strong buy
22,TITAN,TITAN COMPANY LTD,Consumer durables,3190000000000.0,3636.8,1.37,1230000.0,96.71,Buy
23,ONGC,OIL AND NATURAL GAS CORP.,Energy minerals,3100000000000.0,247.61,0.65,16810000.0,8.0,Buy
24,ADANIPORTS,ADANI PORT & SEZ LTD,Transportation,2960000000000.0,1406.2,2.51,3710000.0,27.39,Strong buy
25,ADANIENT,ADANI ENTERPRISES LTD,Distribution services,2840000000000.0,2520.0,2.36,1550000.0,40.96,Strong buy
26,POWERGRID,POWER GRID CORP. LTD.,Utilities,2750000000000.0,299.65,1.25,22640000.0,17.93,Buy
27,WIPRO,WIPRO LTD,Technology services,2650000000000.0,256.55,1.44,12080000.0,20.48,Neutral
28,DMART,AVENUE SUPERMARTS LTD,Retail trade,2630000000000.0,4073.5,0.6,263180.0,98.11,Neutral
29,TATAMOTORS,TATA MOTORS LTD,Consumer durables,2570000000000.0,728.1,4.17,28630000.0,11.8,Neutral
30,BEL,BHARAT ELECTRONICS LTD,Electronic technology,2520000000000.0,350.4,1.76,35960000.0,51.31,Buy
31,COALINDIA,COAL INDIA LTD,Energy minerals,2480000000000.0,404.65,0.38,10510000.0,7.05,Buy
32,JSWSTEEL,JSW STEEL LTD,Non-energy minerals,2420000000000.0,1038.3,4.95,5300000.0,76.96,Buy
33,NESTLEIND,NESTLE INDIA LTD,Consumer non-durables,2290000000000.0,2398.1,1.17,964110.0,72.08,Neutral
34,ETERNAL,ETERNAL LTD,Transportation,2290000000000.0,242.59,2.42,40340000.0,416.96,Buy
35,BAJAJ_AUTO,BAJAJ AUTO LTD,Consumer durables,2260000000000.0,8326.0,2.76,497960.0,30.95,Buy
36,ASIANPAINT,ASIAN PAINTS LTD,Process industries,2190000000000.0,2329.9,2.09,1680000.0,60.92,Sell
37,INDIGO,INTERGLOBE AVIATION LTD,Transportation,2109999999999.9998,5589.0,2.52,702000.0,35.52,Buy
38,ADANIPOWER,ADANI POWER LTD,Utilities,2080000000000.0,543.1,0.61,3550000.0,16.29,Strong buy
39,IOC,INDIAN OIL CORP LTD,Energy minerals,2029999999999.9998,145.0,1.07,10180000.0,14.68,Buy
40,TATASTEEL,TATA STEEL LTD,Non-energy minerals,1940000000000.0,157.35,1.31,57070000.0,,Buy
41,TRENT,TRENT LTD,Retail trade,1910000000000.0,5577.5,4.02,1520000.0,128.19,Buy
42,GRASIM,GRASIM INDUSTRIES LTD,Non-energy minerals,1860000000000.0,2824.8,3.2,1350000.0,48.98,Buy
43,HINDZINC,HINDUSTAN ZINC LTD,Non-energy minerals,1850000000000.0,440.75,0.41,2089999.9999999998,17.99,Neutral
44,SBILIFE,SBI LIFE INSURANCE CO LTD,Finance,1760000000000.0,1784.6,1.68,1320000.0,74.17,Strong buy
45,VEDL,VEDANTA LTD,Non-energy minerals,1730000000000.0,443.8,0.25,7110000.0,11.47,Buy
46,VBL,VARUN BEVERAGES LTD,Consumer non-durables,1720000000000.0,506.6,0.69,9550000.0,59.9,Strong buy
47,DLF,DLF LTD,Finance,1710000000000.0,709.05,2.95,3550000.0,43.81,Strong buy
48,JIOFIN,JIO FIN SERVICES LTD,Finance,1700000000000.0,273.7,2.32,16200000.0,107.73,Neutral
49,IRFC,INDIAN RAILWAY FIN CORP L,Finance,1700000000000.0,130.24,0.22,23540000.0,26.16,Strong sell
50,DIVISLAB,DIVI S LABORATORIES LTD,Health technology,1650000000000.0,6214.5,0.02,462230.0,79.81,Neutral
51,HDFCLIFE,HDFC LIFE INS CO LTD,Finance,1600000000000.0,751.2,1.28,3340000.0,89.26,Buy
52,PIDILITIND,PIDILITE INDUSTRIES LTD,Process industries,1580000000000.0,3111.5,0.09,686710.0,76.34,Buy
53,TECHM,TECH MAHINDRA LTD,Technology services,1570000000000.0,1629.1,1.62,2970000.0,33.99,Neutral
